Compound Name,Formula,Mass,RT,CAS ID,Eva_pos_01,Eva_pos_02,Eva_pos_03,Eva_pos_04,Eva_pos_05,Eva_pos_06,Eva_pos_07,Eva_pos_08,Eva_pos_09,Eva_pos_10,Eva_pos_11,Eva_pos_12,Eva_pos_blank01,Eva_pos_blank02,Eva_pos_blank03,Eva_pos_QC00,Eva_pos_QC01,Eva_pos_QC02,Eva_pos_QC03,Eva_pos_QC04
w/o MS2:NAE 18:4_1_msd831_pos,,319.2492,2.23,,,234778.9812,,289614.9772,,200750.5564,,223779.4243,,238879.3668,,89299.74428,,,,52711.89501,50607.26758,133070.9371,126112.6598,139994.4348
w/o MS2:NAE 20:1_1_msd716_pos,,353.3309,1.85,,84583.89617,73050.79689,89777.03616,73320.89806,94199.9544,78287.91901,97531.87742,78353.50143,103899.848,80023.57915,95714.78049,65696.50968,59891.17516,55865.47457,52999.48279,99689.57513,90578.59302,85527.92007,81897.69101,81417.44924
w/o MS2:NAGly 10:0/10:0_1_msd261_pos,,399.2988,0.93,,65751.50914,52193.361,77735.0522,42529.87003,68047.0076,78898.72872,72114.82199,84792.76534,62541.34606,54466.12353,60435.31447,56794.96803,88988.1713,71996.10847,70255.43811,73859.957,67334.36313,76150.71685,52395.87569,65822.02728
w/o MS2:NAGly 11:0/10:0_1_msd360_pos,,413.3142,1.09,,4074465.615,4283996.425,4297913.991,4120182.767,4262936.343,4310110.631,3985058.352,4466918.642,4293022.993,4028669.856,4275077.573,4202488.038,6541742.573,5409097.889,5427180.366,5203160.807,4455776.378,4297484.783,4204844.157,4103435.764
w/o MS2:NAGly 12:0/16:0_1_msd2435_pos,,528.4528,6.44,,186874.9102,163596.0004,159049.8486,175368.1957,160977.1326,170557.6261,167754.7174,198748.437,171495.5935,162321.4882,192309.9319,191450.3656,273287.8771,221536.2503,251505.9945,177376.2256,186348.898,192923.7149,176794.7178,179233.7907
w/o MS2:NAGly 26:7/22:5_1_msd1530_pos,,767.549,3.8,,556527.8291,21988.50351,368469.2473,15557.20059,268307.9778,11168.00716,229103.0189,14416.79157,582506.435,11204.07561,174496.4346,14839.07215,2559.124635,1262.476593,2032.050887,120599.5687,110195.1738,108275.0877,104148.9052,107046.138
w/o MS2:NAGlySer 14:0/22:3_1_msd2426_pos,,721.553,8.72,,140674.3611,207182.6188,193145.9324,210375.1651,137046.568,199960.0344,196900.2703,201913.3938,124541.1175,223434.5169,213778.0899,160011.524,219973.8561,184695.0333,177395.3178,172064.1218,151090.1328,164131.5037,163754.7266,158332.0344
w/o MS2:NAGlySer 19:0/26:2_1_msd3059_pos,,849.7207,10.94,,110685.0924,101255.3497,125996.0027,113888.5243,120716.1264,107647.68,111925.8723,113681.473,100007.0375,96415.13345,109801.9514,89674.56018,149982.0621,140944.0942,131118.9637,92033.14646,88373.06114,96945.62884,93325.80775,90733.81971
w/o MS2:NAOrn 14:1/13:0_1_msd2334_pos,,552.4517,7.72,,2519961.27,2700042.738,2683096.033,2735653.891,2600045.627,2475151.821,2480479.827,2530515.65,2717687.106,2432045.251,2418090.164,1530992.783,3438836.151,2847693.195,2224307.844,1727302.707,1437376.13,2577120.069,2401758.846,2888361.532
w/o MS2:NAOrn 18:5/26:4_1_msd2101_pos,,774.5882,5.05,,2321904.153,2508808.249,2501969.022,2394519.312,2476739.708,2543360.947,2219724.061,2619281.403,2480567.269,2286388.725,2466690.598,2460625.609,3597672.548,3432569.07,3427901.643,2716958.139,2517233.495,2497159.316,2439199.862,2434557.495
w/o MS2:PC O-35:0_1_msd1612_pos,,761.626,4.63,,68050.78405,97213.81136,78836.31404,93117.73853,83667.5146,105170.8409,73412.41819,108526.1337,77356.31724,94454.66259,89918.4537,96380.43248,92574.06078,97431.22221,96565.26067,98612.30284,90492.1083,90221.04003,91629.74702,89529.75262
w/o MS2:PE 70:18_1_msd2400_pos,,1209.8048,6.27,,70288.77911,69405.90427,68119.50625,61685.16511,65808.5069,69532.28939,68991.0275,77228.49138,73178.81276,64223.78724,71141.48231,69260.98596,106074.6496,92552.00343,95302.27189,71660.98387,66578.15135,66394.63266,62656.02132,62448.78474
w/o MS2:PI 20:2_1_msd937_pos,,660.2859,2.61,,128631.1374,140599.277,182969.3999,123141.9862,156795.4709,124773.4476,142257.3295,145102.5935,152350.5273,133001.3526,139163.4028,129522.6877,236799.2853,207647.4942,143693.2173,163221.686,142753.2932,145434.8335,141713.1518,141686.349
