RT [min],CCS,m/z meas.,Original annotation,Molecular Formula,Annotations,AQ,Name for process,Ions,ID library,Positive id forms,Positive id forms formatted,ID confidence,Annotation Source,mSigma,MS/MS score,mz,BlankC1,BlankC2,BlankC3,BlankC4,BlankC5,BlankC6,QC01,QC02,QC03,E3,E6,F3,F5,F4,E2,QC04,F2,F1,F6,E5,E4,E1,QC05
1.83,231.4,556.33939,,,,,_556.339_1.83__,,,0,0,,,,,,0,0,0,0,0,0,8803,6163,7240,8780,5655,8607.8,6759,5660,16153,6322,19465,5298,5857,5562,6742,5004,7405
1.84,204.4,386.29061,,,,,_386.291_1.84_[M+HCOOH-H]-_,[M+HCOOH-H]-,,0,0,,,,,,0,0,0,0,0,0,99784,97870,103898,179661,198480,117138.6,153063,122560,91468,98999,79309,83298,147463,168659,205485,153743,98731
1.86,259.8,843.34863,,,,,_843.349_1.86_[M+HCOOH-H]-_,[M+HCOOH-H]-,,0,0,,,,,,16259,8451,12298,13562,8700,14168,8966,8150,7295,11394,11330,11626.6,13354,10013,11571,9278,13346,9756,11664,11527,14340,10210,7895
1.85,210.1,411.32113,,,,,_411.321_1.85_[M-H]-_,[M-H]-,,0,0,,,,,,0,0,0,0,0,7218,9454,11043,10854,0,10983,11004.6,16245,11750,5735,13027,8806,5999,12223,10956,10676,4711,11826
1.83,250.1,617.28955,,,,,_617.29_1.83__,,,0,0,,,,,,34116,21771,21077,30738,31349,26999,8570,8656,7976,4789,8744,12172.8,19213,6922,10713,8473,8541,7590,18598,6192,7578,7692,10149
1.85,230.6,521.33137,,,,,_521.331_1.85__,,,0,0,,,,,,0,0,0,0,0,0,18806,18448,22367,19143,22616,20836,21974,24260,14622,17859,22917,14771,20258,20508,19917,14506,20206
1.85,234.9,584.33336,,,,,_584.333_1.85__,,,0,0,,,,,,0,0,0,0,0,0,17867,18667,20522,20220,10998,15530.4,14482,13127,19950,20804,24356,15262,10425,12142,12114,20939,20076
1.85,228.3,480.34441,,,,,_480.344_1.85__,,,0,0,,,,,,0,0,0,0,3736,0,74686,71729,79507,108405,100042,94969.8,113636,97087,83321,83100,91347,68387,104392,92163,105659,75392,86867
1.84,217.9,439.35272,,,,,_439.353_1.84__,,,0,0,,,,,,0,0,0,0,0,0,12911,11343,14340,16851,15189,20583.8,22974,20514,8815,13740,15795,19297,24339,12310,16630,10860,13266
1.85,228.9,522.32198,,,,,_522.322_1.85__,,,0,0,,,,,,1079,1079,1053,933,0,829,14050,15142,12914,9919,11201,13477.4,14713,10467,12764,17672,20342,8321,13544,10787,12347,8473,14335
1.85,253.9,622.37138,,,,,_622.371_1.85__,,,0,0,,,,,,0,0,1243,0,0,0,7911,6129,8191,10026,6058,8251.4,8511,6738,6753,8429,10791,8753,6464,6618,6852,0,0
1.85,217.7,449.31238,,,,,_449.312_1.85__,,,0,0,,,,,,0,0,0,0,0,0,9126,9105,7259,9959,7796,7315.2,0,7354,8741,0,8883,11909,8430,8404,9089,7675,10004
1.85,266.5,414.32158,,,,,_414.322_1.85_[M-H]-_,[M-H]-,,0,0,,,,,,0,0,0,0,0,0,9451,9830,10045,10242,6975,5937.4,0,11518,10869,10269,9919,8250,0,7396,12216,6342,10162
1.84,259.3,703.36021,,,,,_703.36_1.84_[M-H]-_,[M-H]-,,0,0,,,,,,0,0,0,0,0,0,4375,4001,5784,0,2816,5243.8,3694,4963,12205,5826,10356,3333,3873,5172,2097,3831,6237
1.86,254.2,666.39839,,,,,_666.398_1.86__,,,0,0,,,,,,0,0,0,0,0,0,0,8888,9785,6618,0,3869.6,7663,5858,7015,8149,5827,0,0,0,0,6398,6932
1.86,222.7,499.1698,,,,,_499.17_1.86__,,,0,0,,,,,,36185,40329,40109,38321,36428,34022,16168,14214,17594,18049,16687,17792,17491,18535,14908,11649,12410,23357,17167,21618,19162,16143,15943
1.85,210.8,414.3209,,,,,_414.321_1.85__,,,0,0,,,,,,8895,0,0,0,0,0,5329,5700,6963,8098,8273,6636.6,6061,6896,7155,6210,8459,5659,6108,8522,11232,8714,7219
1.87,267.2,907.36225,,,,,_907.362_1.87__,,,0,0,,,,,,8894,7786,8258,10309,9745,11117,6482,7397,6374,10565,8616,10029.6,11794,8672,9404,5964,11233,6562,11887,10753,9294,9186,4284
1.85,284.3,796.49727,,,,,_796.497_1.85__,,,0,0,,,,,,0,0,0,0,0,0,17767,19544,20207,27289,16591,20121.8,21543,18053,19302,19850,23973,18834,18206,19053,21224,30261,19616
1.85,269.5,709.49691,,,,,_709.497_1.85__,,,0,0,,,,,,8695,8774,10347,6464,8333,7529,34026,28766,29056,34609,23465,21067,11522,30520,29309,27851,23969,24531,14793,25847,35658,27258,27569
1.86,247.8,863.27615,,,,,_863.276_1.86__,,,0,0,,,,,,11155,10082,9861,10012,9842,9805,5651,4613,4578,10868,8742,7169.4,7345,7762,7890,5338,7561,5268,7911,9388,8394,7437,5055
1.85,262.2,666.3968,,,,,_666.397_1.85__,,,0,0,,,,,,0,0,1564,0,0,0,18958,18167,18640,18426,13033,15076.8,6368,8481,16657,20453,13943,25488,21104,11185,12536,26672,19817
1.84,190.3,351.25332,,,,,_351.253_1.84__,,,0,0,,,,,,16431,14859,16591,16059,18562,13948,6110,5147,4991,9631,12391,8737.2,11646,9131,8697,7063,5785,7408,9716,9953,11018,9276,3845
1.85,240.3,594.34057,,,,,_594.341_1.85_[M-H]-_,[M-H]-,,0,0,,,,,,0,1697,1649,0,0,0,8402,5242,8281,7430,0,4735.2,4196,5829,7154,10591,2851,6591,4209,3425,5064,8062,8807
1.85,263.4,641.50937,,,,,_641.509_1.85_[M+Cl]-_,[M+Cl]-,,0,0,,,,,,7941,8102,8499,6710,8952,7498,44955,44836,46533,51324,31460,34712.8,23603,45146,43112,45236,52074,32298,20443,35754,48165,38389,42488
1.84,257.5,688.41751,,,,,_688.418_1.84__,,,0,0,,,,,,0,0,0,0,0,0,6769,6548,8039,6406,0,4215.6,4677,2898,6871,8203,5680,3570,4253,3572,3936,8351,8100
1.84,255,927.2894,,,,,_927.289_1.84_[M-H]-_,[M-H]-,,0,0,,,,,,7834,7418,7083,6992,7537,7269,3698,4236,3935,8249,6117,6247.8,8161,6359,7245,4547,4366,4571,7782,5140,6363,6593,5252
1.84,276,746.46065,,,,,_746.461_1.84__,,,0,0,,,,,,0,0,0,0,0,0,8584,8944,8012,8585,6438,5684.6,5556,0,9552,10477,8545,6538,7784,5804,5638,11590,12182
1.83,244.3,619.30081,,,,,_619.301_1.83__,,,0,0,,,,,,4996,0,0,0,4105,4041,9888,10042,8392,9457,12228,10722.4,12689,13879,4312,8829,3599,6965,16480,10937,9957,9155,8716
1.84,258.9,652.38209,,,,,_652.382_1.84__,,,0,0,,,,,,0,0,0,0,0,0,5452,7381,7337,9916,5352,6315.2,3530,3199,7073,9060,6096,10778,7973,6532,5554,11679,9325
1.85,211,431.18274,,,,,_431.183_1.85__,,,0,0,,,,,,0,0,27311,0,20170,0,27393,26773,22551,28369,28461,20996.2,26743,24690,29477,0,27516,26032,0,27431,26088,0,25065
1.84,271,736.43953,,,,,_736.44_1.84__,,,0,0,,,,,,0,0,0,0,0,0,4924,3696,0,4201,2821,3464.6,2411,3315,4600,5916,4023,4061,3513,0,0,4977,5354
1.84,241.2,599.31658,,,,,_599.317_1.84__,,,0,0,,,,,,11540,12790,13920,11346,13591,14123,6706,7029,7806,12201,9156,9810.8,7343,8525,6231,7316,20232,5012,7942,8746,0,6787,8350
1.86,274.6,971.37612,,,,,_971.376_1.86__,,,0,0,,,,,,9157,8432,7099,7214,9004,7759,4370,3560,4595,5671,7227,7100.6,7523,6305,6399,4264,8217,6243,7215,7280,7191,6423,4066
1.85,218,471.33085,,,,,_471.331_1.85__,,,0,0,,,,,,0,5091,0,20371,0,0,12821,11816,12395,4843,4129,2591,0,0,3272,17508,4353,3743,4859,5262,5783,4939,17736
1.86,213,450.29767,,,,,_450.298_1.86__,,,0,0,,,,,,0,0,0,0,0,0,38095,41382,37414,37626,31099,42037,39162,37977,36843,40610,67586,26789,38671,29010,27811,27887,37336
